time(s.ns)			diff(ns)
1502453855.1255577
1502453856.381800			999126223
1502453857.535881			154081
1502453858.686107			150226
1502453859.763052			76945
1502453860.899684			136632
1502453861.1019753			120069
1502453862.1209040			189287
1502453863.278386			999069346
1502453864.416787			138401
1502453865.530605			113818
1502453866.2546286			2015681
1502453867.811885			998265599
1502453868.912838			100953
1502453869.1069519			156681
1502453870.1163127			93608
1502453871.290438			999127311
1502453872.442066			151628
1502453873.568173			126107
1502453874.672145			103972
1502453875.800439			128294
1502453876.929878			129439
1502453877.1102078			172200
1502453878.1178288			76210
1502453879.308774			999130486
1502453880.436055			127281
1502453881.560940			124885
1502453882.714418			153478
1502453883.848781			134363
1502453884.967883			119102
1502453885.1101932			134049
1502453886.1200876			98944
1502453887.326596			999125720
1502453888.452987			126391
1502453889.581304			128317
1502453890.711391			130087
1502453891.842520			131129
1502453892.964846			122326
1502453893.1089567			124721
1502453894.1217256			127689
1502453895.350367			999133111
1502453896.472045			121678
1502453897.622004			149959
1502453898.750660			128656
1502453899.882596			131936
1502453900.1008489			125893
1502453901.1136986			128497
1502453902.264289			999127303
1502453903.394451			130162
1502453904.522423			127972
1502453905.647687			125264
1502453906.773574			125887
1502453907.900347			126773
1502453908.1026024			125677
1502453909.1155815			129791
1502453910.281185			999125370
1502453911.409933			128748
1502453912.538307			128374
1502453913.664129			125822
1502453914.791252			127123
1502453915.918426			127174
1502453916.1044038			125612
1502453917.1172877			128839
1502453918.299639			999126762
1502453919.428530			128891
1502453920.555441			126911
1502453921.681362			125921
1502453922.808740			127378
1502453923.927889			119149
1502453924.1055579			127690
1502453925.1184778			129199
1502453926.319713			999134935
1502453927.446099			126386
1502453928.571842			125743
1502453929.694511			122669
1502453930.825514			131003
1502453931.953860			128346
1502453932.1075539			121679
1502453933.1208885			133346
1502453934.335726			999126841
1502453935.461310			125584
1502453936.587832			126522
1502453937.713104			125272
1502453938.844157			131053
1502453939.968647			124490
1502453940.1099179			130532
1502453941.1221585			122406
1502453942.353633			999132048
1502453943.475570			121937
1502453944.606548			130978
1502453945.734505			127957
1502453946.855692			121187
1502453947.990212			134520
1502453948.1115670			125458
1502453949.237905			999122235
1502453950.368883			130978
1502453951.497623			128740
1502453952.627143			129520
1502453953.750258			123115
1502453954.878685			128427
1502453955.998102			119417
1502453956.1125071			126969
1502453957.259911			999134840
1502453958.387349			127438
1502453959.514943			127594
1502453960.640353			125410
1502453961.770919			130566
1502453962.896850			125931
1502453963.1022574			125724
1502453964.1143924			121350
1502453965.277624			999133700
1502453966.404548			126924
1502453967.529807			125259
1502453968.661889			132082
1502453969.787305			125416
1502453970.912931			125626
1502453971.1039859			126928
1502453972.1165642			125783
1502453973.296588			999130946
1502453974.422008			125420
1502453975.550241			128233
1502453976.675314			125073
1502453977.803408			128094
1502453978.929055			125647
1502453979.1055849			126794
1502453980.1186343			130494
1502453981.311375			999125032
1502453982.442131			130756
1502453983.565649			123518
1502453984.692709			127060
1502453985.813834			121125
1502453986.938501			124667
1502453987.1073169			134668
1502453988.1199400			126231
1502453989.329285			999129885
1502453990.453799			124514
1502453991.581961			128162
1502453992.704026			122065
1502453993.829477			125451
1502453994.955607			126130
1502453995.1081896			126289
1502453996.1215321			133425
1502453997.344901			999129580
1502453998.473798			128897
1502453999.590354			116556
1502454000.716599			126245
1502454001.850137			133538
1502454002.979405			129268
1502454003.1108936			129531
1502454004.235193			999126257
1502454005.361342			126149
1502454006.486606			125264
1502454007.616976			130370
1502454008.746509			129533
1502454009.868856			122347
1502454010.995216			126360
1502454011.1116527			121311
1502454012.253210			999136683
1502454013.369055			115845
1502454014.496518			127463
1502454015.629972			133454
1502454016.757803			127831
1502454017.887667			129864
1502454018.1010502			122835
1502454019.1139589			129087
1502454020.266237			999126648
1502454021.394182			127945
1502454022.520931			126749
1502454023.643775			122844
1502454024.776569			132794
1502454025.902387			125818
1502454026.1028936			126549
1502454027.1153872			124936
1502454028.282985			999129113
1502454029.408708			125723
1502454030.536464			127756
1502454031.667088			130624
1502454032.789588			122500
1502454033.910112			120524
1502454034.1043659			133547
1502454035.1170594			126935
1502454036.298891			999128297
1502454037.425725			126834
1502454038.554541			128816
1502454039.678359			123818
1502454040.809199			130840
1502454041.933116			123917
1502454042.1058754			125638
1502454043.1182728			123974
1502454044.314159			999131431
1502454045.441055			126896
1502454046.567433			126378
1502454047.699543			132110
1502454048.821811			122268
1502454049.938770			116959
1502454050.1068753			129983
1502454051.207650			999138897
1502454052.338679			131029
1502454053.448147			109468
1502454054.577566			129419
1502454055.704071			126505
1502454056.831649			127578
1502454057.961052			129403
1502454058.1091137			130085
1502454059.216855			999125718
1502454060.345800			128945
1502454061.474696			128896
1502454062.600106			125410
1502454063.727602			127496
1502454064.852653			125051
1502454065.972238			119585
1502454066.1100420			128182
1502454067.228143			999127723
1502454068.355654			127511
1502454069.481761			126107
1502454070.608965			127204
1502454071.733775			124810
1502454072.861247			127472
1502454073.989034			127787
1502454074.1114272			125238
1502454075.244885			999130613
1502454076.370546			125661
1502454077.497148			126602
1502454078.622712			125564
1502454079.749893			127181
1502454080.877442			127549
1502454081.1006192			128750
1502454082.1140153			133961
1502454083.267509			999127356
1502454084.393715			126206
1502454085.519768			126053
1502454086.646449			126681
1502454087.778548			132099
1502454088.899446			120898
1502454089.1041908			142462
1502454090.1156510			114602
1502454091.281903			999125393
1502454092.408595			126692
1502454093.535134			126539
1502454094.663655			128521
1502454095.788950			125295
1502454096.910343			121393
1502454097.1035696			125353
1502454098.1162564			126868
1502454099.289440			999126876
1502454100.420792			131352
1502454101.544804			124012
1502454102.667880			123076
1502454103.800126			132246
1502454104.924898			124772
1502454105.1051339			126441
1502454106.177687			999126348
1502454107.305543			127856
1502454108.430746			125203
1502454109.558088			127342
1502454110.688975			130887
1502454111.813460			124485
1502454112.940657			127197
1502454113.1065305			124648
1502454114.189911			999124606
1502454115.321493			131582
1502454116.448547			127054
1502454117.577219			128672
1502454118.702821			125602
1502454119.829259			126438
1502454120.953721			124462
1502454121.1079489			125768
1502454122.209485			999129996
1502454123.335468			125983
1502454124.465205			129737
1502454125.589946			124741
1502454126.719638			129692
1502454127.843396			123758
1502454128.969813			126417
1502454129.1093057			123244
1502454130.223342			999130285
1502454131.352010			128668
1502454132.475472			123462
1502454133.605916			130444
1502454134.731989			126073
1502454135.865408			133419
1502454136.994085			128677
1502454137.1118911			124826
1502454138.249321			999130410
1502454139.375092			125771
1502454140.501544			126452
1502454141.627010			125466
1502454142.754668			127658
1502454143.882328			127660
1502454144.1007701			125373
1502454145.1137920			130219
1502454146.258879			999120959
1502454147.389678			130799
1502454148.516105			126427
1502454149.642744			126639
1502454150.770740			127996
1502454151.888426			117686
1502454152.1025264			136838
1502454153.1150284			125020
1502454154.278542			999128258
